station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41070,Kedzie-Lake,1/1/2001,1168.9,626,404,30240
41360,California-Lake,1/1/2001,756.8,380.8,255.4,19449
40170,Ashland-Lake,1/1/2001,1408.4,538.5,330.2,34790
41160,Clinton-Lake,1/1/2001,1816,405.8,253,42841
41120,35-Bronzeville-IIT,1/1/2001,1743.8,912.5,576,44893
40300,Indiana,1/1/2001,568.8,317.5,224.8,14908
41270,43rd,1/1/2001,764.4,430,267,19871
41080,47th-South Elevated,1/1/2001,1242.1,789.3,468.4,32826
40130,51st,1/1/2001,1116.7,700,448.4,29609
40510,Garfield-South Elevated,1/1/2001,720.8,495,304.2,19359
41140,King Drive,1/1/2001,697.8,396,220.8,18039
40720,East 63rd-Cottage Grove,1/1/2001,1400,716.8,460.4,35969
40940,Halsted/63rd,1/1/2001,707.6,461.5,271.2,18770
40290,Ashland/63rd,1/1/2001,1774.4,927.3,648.6,45989
41290,Kimball,1/1/2001,4022.5,2128.8,1110.6,102564
41180,Kedzie-Brown,1/1/2001,1444.7,902.8,554.8,38169
40870,Francisco,1/1/2001,1085.5,459,235.4,26893
41010,Rockwell,1/1/2001,1267,512.8,295.8,31403
41480,Western-Brown,1/1/2001,3421.9,1631.5,902.8,86321
40090,Damen-Brown,1/1/2001,2083.4,1030.5,536.2,52637
41500,Montrose-Brown,1/1/2001,2016.1,910.8,489.6,50446
41460,Irving Park-Brown,1/1/2001,2315,932.5,471.8,57018
41440,Addison-Brown,1/1/2001,1794.9,637.8,291,43494
41310,Paulina,1/1/2001,2030.4,943.3,495.4,50919
40360,Southport,1/1/2001,2668.3,991,520,65267
41210,Wellington,1/1/2001,2539.9,759.8,378.8,60810
40530,Diversey,1/1/2001,4286,1883.5,867.2,106162
40660,Armitage,1/1/2001,3338,1060.5,484.8,80102
40800,Sedgwick,1/1/2001,2132.2,963.3,498.8,53255
40710,Chicago/Franklin,1/1/2001,4052.4,1354,550.8,97322
40460,Merchandise Mart,1/1/2001,6107.6,1022.3,347.6,140195
40930,Midway Airport,1/1/2001,7579.6,2506,1915.6,186353
40960,Pulaski-Orange,1/1/2001,5021.7,1257.8,605.6,118537
41150,Kedzie-Midway,1/1/2001,2907.8,1150,583.4,71488
40310,Western-Orange,1/1/2001,3216.8,1051.3,552.6,77738
40120,35th/Archer,1/1/2001,2034.3,640.8,343.4,49035
41060,Ashland-Orange,1/1/2001,1280,553.5,304,31895
41130,Halsted-Orange,1/1/2001,2385.1,679.3,357.4,56976
40730,Washington/Wells,1/1/2001,7217.2,718.3,303,163166
40040,Quincy/Wells,1/1/2001,7928.3,895.8,431,180161
40160,LaSalle/Van Buren,1/1/2001,3638.3,300,123.4,81860
40850,Library,1/1/2001,2391.6,701.8,248,56662
40680,Adams/Wabash,1/1/2001,6918.8,2206,978.2,165928
40640,Madison/Wabash,1/1/2001,3693.4,1200,388,87994
40200,Randolph/Wabash,1/1/2001,5544.6,1913,896.4,134115
40260,State/Lake,1/1/2001,8352.5,3808.5,2390.8,210942
40380,Clark/Lake,1/1/2001,15174.9,2356.3,1363.4,350089
40900,Howard,2/1/2001,6389.5,3761,2534.3,152971
41190,Jarvis,2/1/2001,1510.5,1079.3,756.5,37553
40100,Morse,2/1/2001,4478.1,2999.8,2155.8,110184
41300,Loyola,2/1/2001,5010,3339.8,2143,122130
40760,Granville,2/1/2001,3288.7,2210.3,1601.8,81022
40880,Thorndale,2/1/2001,3099.1,1866,1343.8,74821
41380,Bryn Mawr,2/1/2001,4547.2,2706.8,1997.8,109762
40340,Berwyn,2/1/2001,3420.1,2073.8,1564.3,82954
41200,Argyle,2/1/2001,2775,1764.3,1311,67801
40770,Lawrence,2/1/2001,2742.4,1864,1386.3,67848
40540,Wilson,2/1/2001,5368.7,3341.3,2085,129078
40080,Sheridan,2/1/2001,4518,2572.3,1784.8,107787
41420,Addison-North Main,2/1/2001,4992.7,2905.5,1965,119335
41320,Belmont-North Main,2/1/2001,9317.7,6584.5,4737.8,231643
41220,Fullerton,2/1/2001,10417.9,5102,3505.3,242787
40650,North/Clybourn,2/1/2001,3576.6,2561,1915.8,89439
40630,Clark/Division,2/1/2001,6703.9,4672.8,3485.8,166712
41450,Chicago/State,2/1/2001,12516.1,8718.3,6122.5,309684
40330,Grand/State,2/1/2001,8246.9,5431,3910.8,202304
41660,Lake/State,2/1/2001,13598.5,5792.3,3971,311022
40500,Washington/State,2/1/2001,6979.9,2758,1540,156790
41090,Monroe/State,2/1/2001,7399,2665,1488.5,164594
40560,Jackson/State,2/1/2001,11756,3877.3,2125.8,259132
41490,Harrison,2/1/2001,2645.3,1287,775.8,61156
